"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Size","ClimateProtection"
"1049",1294,"Manusela","KBA",NA,NA,1,0.404391735052623,0.764953369666521,0,0.671170067829266,0.201993383178119,0.786540521831666
"1054",371,"Waldburg",NA,1,"II",1,0.0506266075928707,0.549609625836903,0.351205076133797,0.855100016712732,0.199767752514898,0.00340114539339303
"1057",812,"Murrumbidgee Red Gums","KBA",NA,NA,1,0.103730632857492,0.399747936454953,0.615008945162297,0.735816066257593,0.198558781142829,0.30782281424548
"1059",808,"Karara and Lochada","KBA",NA,NA,1,0.0753275463506217,0.58496226266427,0.253544063825392,0.720864232075737,0.198045114017616,0.0242983967696844
"1065",403,"Purnululu",NA,1,"II",1,0.130608737556665,0.686064605132093,0.464186733688621,0.760425276454436,0.195465456798022,0.0165497023150372
"1073",795,"Macquarie Marshes","KBA",NA,NA,1,0.114063562954663,0,0.663882734720861,0.772479500639895,0.19300737758466,0.0987975138317028
"1084",800,"Strzelecki Desert Lakes","KBA",NA,NA,1,0.0673412461660068,0.68467881204931,0.612207847919552,0.877514197462749,0.188990938890829,0.001988430427576
"1087",537,"Willandra Lakes Region",NA,1,"Not Applicable",1,0.074452775798872,0.529730073497216,0.438376870898676,0.808807394194879,0.187913273883428,0.0321171171755059
"1089",807,"Mount Gibson and Charles Darwin","KBA",NA,NA,1,0.0626892752744485,0.59032985534902,0.139384896148794,0.732639418840363,0.187703661768112,0.0347127600383753
"1090",397,"Millstream Chichester",NA,1,"II",1,0.104017633667285,0.573647112024776,0.716054610472862,0.769172600270295,0.187658484527783,0.00779026940037133
"1092",368,"Meenthena Station",NA,1,"II",1,0.104584569184208,0.553569116636485,0.756148256045963,0.779909913828718,0.186688685816136,0.00561380385729438
"1107",402,"Collier Range",NA,1,"II",1,0.05796775264697,0.579181410144833,0.507629000885949,0.830782392201951,0.182824561982338,0.0038649374136576
"1110",381,"Jardine River",NA,1,"II",1,0.2117714355323,0.779139403682305,0.589164990671858,0.88810634768484,0.182522219305328,0.298347744714791
"1112",813,"Northern Swan Coastal Plain","KBA",NA,NA,1,0.167950967307428,0.322893150695366,0.362496478847225,0.810494118711095,0.182057233689731,0.221183338797182
"1122",372,"Giralia",NA,1,"II",1,0.0912891578738559,0.51086191545968,0.828850767804351,0.86401329792477,0.179538008960129,0.00977473546150097
"1126",801,"North-west Tasmanian Coast","KBA",NA,NA,1,0.102541547717818,0.759979698354085,0.678285298993032,0.760202295692831,0.178149388142934,0.694437643150664
"1129",405,"Walyarta",NA,1,"II",1,0.0230708827310194,0.597783588018035,0.648273931376864,0.762531701793852,0.17743201760614,0.00931548677042717
"1148",798,"Lake Sylvester System","KBA",NA,NA,1,0.0522033619532029,0.597008652975364,0.822852719772836,0.760481564970429,0.171282405391857,0.0160060504624963
"1152",355,"Garig Gunak Barlu",NA,1,"II",1,0.196311462006593,0.653871193103317,0.367060178038877,0.76080548678493,0.169805593045936,0.14978941988953
"1171",379,"Great Sandy",NA,1,"II",1,0.349925469744119,0.754892201412674,0.399020816376652,0.519620229992035,0.16619468549047,0.270505982902103
"1193",770,"Limmen Bight","KBA",NA,NA,1,0.143416530582924,0.718525996317693,0.815572754690391,0.760351584174936,0.15884253765449,0.0882737626742075
"1198",803,"Cooloola and Fraser Coast","KBA",NA,NA,1,0.349165340032408,0.755446268998253,0.382992297070028,0.521998505413943,0.157901711696527,0.271452361343762
"1224",363,"Bon Bon Station",NA,1,"II",1,0.0595195265173311,0.527350270573118,0.780884794369708,0.825719924072932,0.151965590355135,0.00266658822038668
"1255",814,"Ulladulla to Merimbula","KBA",NA,NA,1,0.219772697146795,0.831478527298279,0.689565468647869,0.765874482827019,0.143031351798264,0.71029336292645
"1269",34,"Jilbadji",NA,1,"Ia",1,0.0922482331677613,0.647893010749627,0.13983753233361,0.695793629728373,0.138770963456087,0.148974368323396
"1273",805,"Lakes Muncoonie, Mumbleberry and Torquinie","KBA",NA,NA,1,0.0412752569024536,0.651577494819494,0.522605071035605,0.789496300765302,0.137549786210839,0.0132440462038289
"1281",994,"North-west Isabel","KBA",NA,NA,1,0.234433305965028,0.996677400764953,0.271223595149838,0.755942399374206,0.136298356647424,0.395971991788711
"1293",367,"Silver Plains",NA,1,"II",1,0.369428364556644,0.699343759239402,0.83690948619629,0.884607881051514,0.133740067839753,0.221873258331601
"1297",128,"Danggali",NA,1,"Ib",1,0.0888786982931515,0.595242520396908,0.513754575460571,0.809092305069652,0.133139823341686,0.0226732519858846
"1310",369,"Credo",NA,1,"II",1,0.0694440049221134,0.651955442983889,0.202386514583995,0.753271850497971,0.130721041623307,0.0321084000871382
"1314",360,"Hamelin Station",NA,1,"II",1,0.0737202895981686,0.556076075855333,0.755443473195721,0.768265367913209,0.12920176801602,0.0143602308458542
"1315",810,"Lake Gregory/Paraku","KBA",NA,NA,1,0.0170651240017866,0.578117198296443,0.873270348453522,0.760438050142079,0.128853731329156,0.00443525693846836
"1327",375,"Morton",NA,1,"II",1,0.253950788395415,0.74304105171546,0.786097386370804,0.806665007241389,0.126108418455965,0.617050522553898
"1328",1323,"Telefomin","KBA",NA,NA,1,0.980083514390592,1,0.254643445857773,0.685657967196479,0.126077569023548,0.810071752337436
"1341",21,"Pegunungan Wayland",NA,1,"Ia",1,0.6792254505982,0.94407369193291,0.374174776454697,0.653210215328914,0,0.862782539544731
