"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Size","ClimateProtection"
"601",101,"Lake Clark",NA,1,"Ib",5,0.0905024934050748,0.976167804996638,0.643744651654544,0.606515699612467,0.482489286206633,0.113823256627892
"616",986,"Lancaster Sound Polynya","KBA",NA,NA,5,0.0201618960669851,0.981614160598698,0.59012368789788,0.606208077005582,0.42567186029857,0
"622",948,"Leahy Junction - Moses Coulee","KBA",NA,NA,5,0.26295776207865,0.243174201741644,0.768115648662177,0.686363914127214,0.0179246894573677,0.106741155353322
"628",969,"Lesser Slave Lake PP","KBA",NA,NA,5,0.1120793469103,0.749637969466869,0.620714036507732,0.732926664871313,0.000684226528008545,0.363816186818677
"652",973,"Lower Mackenzie River Islands","KBA",NA,NA,5,0.0660313526577981,0.97053513536847,0.28349038225932,0.606208077005582,0.176233481805811,0.0844452048568064
"670",971,"Mackenzie River Delta","KBA",NA,NA,5,0.0828383134253357,0.952375622830919,0.0215709125558445,0.606208077005582,0.175082733968031,0.0242587486713125
"710",981,"McConnell River","KBA",NA,NA,5,0.0587978280704903,0.953049245978275,0.380382065252329,0.606209395537713,0.30843865784362,8.31925695298603e-05
"718",974,"Middle Mackenzie River Islands","KBA",NA,NA,5,0.0804091490633008,0.95828983150897,0.414778582800743,0.606208077005582,0.170339580860432,0.146781788803884
"728",118,"Misty Fiords",NA,1,"Ib",5,0.137753358381343,0.924003913149144,0.674871070621775,0.637437483504455,0.425268193122377,0.594201685125655
"731",80,"Mojave",NA,1,"Ib",5,0.31116036942222,0.569967200993659,0.841213146264306,0.274064264956339,0.141356564995313,0.00848416120497801
"733",86,"Mollie Beattie",NA,1,"Ib",5,0.085110962060297,0.981177247997834,0.632368581693395,0.606208077005582,0.774778109838233,0.036057261359578
"746",150,"Mount Edziza Park",NA,1,"Ib",5,0.123561557288121,0.955014637715769,0.530756157751826,0.635172928690263,0.0814441041200014,0.324216935000123
"751",448,"Mount Robson Park",NA,1,"II",5,0.153154559209678,0.885031902958533,0.402062648664929,0.620838841560795,0.034524414767142,0.529296019661917
