"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Size","ClimateProtection"
"528",1289,"Kelabit Highlands","KBA",NA,NA,4,0.965128571266573,0.977386659841944,0.743223212172462,0.753449659196049,0.348706551597866,0.992317056109643
"533",299,"Kerinci Seblat",NA,1,"II",4,0.737514793001479,0.699806628944022,0.175451946266032,0.240893900309556,0.977883850973563,0.659611680023448
"534",833,"Khammouan Limestone","KBA",NA,NA,4,0.832258673707225,0.820371734666494,0.75231271062192,0.601051066863367,0.0399270594883011,0.33237359000519
"539",681,"Khangchendzonga National Park and Biosphere Reser*","KBA",NA,NA,4,0.688469504360035,0.729588736972003,0.57468266979686,0.765830097549104,0.131323348136307,0.203117501120883
"541",200,"Khao Yai",NA,1,"II",4,0.479469522861358,0.61800829796961,0.727274199330235,0.612693863488082,0.0819597501092987,0.334356063536781
"545",247,"Khuen Si Nakarin",NA,1,"II",4,0.592571016697702,0.874266849845286,0.8068519356903,0.775714967988528,0,0.27779860382438
"554",231,"Kirthar",NA,1,"II",4,0.0670288851203342,0.805100390482906,0.354444753361511,0.495841669279003,0.233309296341849,0.00174516398686607
"575",675,"Kurseala River Course and Diyara Floodplain","KBA",NA,NA,4,0.0784186979194429,0.0133818619430786,0.592786839120837,0.766342256301746,0.085733903089989,0.048059750543922
"578",664,"Kutai","KBA",NA,NA,4,0.305092380663581,0.523568984741118,0.565523540558071,0.194039554241836,0.0974155935260307,0.434945341228778
"580",848,"Kyaukphyu (Wunbike)","KBA",NA,NA,4,0.196119617115803,0.822527749747028,0.655342230420136,0.693369756722315,0.160567005606502,0.197145776267783
"618",654,"Langtang National Park","KBA",NA,NA,4,0.428280836183173,0.566185694133362,0.678408773356958,0.853820648357887,0.0682226374206498,0.143693935637782
"619",667,"Lanjak Entimau Wildlife Sanctuary","KBA",NA,NA,4,0.580581241507879,0.976939882626318,0.879319192821059,0.579525841478738,0.0521698661521216,0.798424112501458
"630",1257,"Liguasan marsh","KBA",NA,NA,4,0.517117507326144,0.46245356563012,0.31432157677556,0.716678308640706,0.0844302820213341,0.345490741101391
"641",841,"Lomphat","KBA",NA,NA,4,0.322085388167666,0.788899211559416,0.711728769380614,0.86529858349661,0.214667201025983,0.244418526814051
"642",663,"Long Bangun","KBA",NA,NA,4,0.40630918411624,0.920328346534245,0.676446164798738,0.354841029964808,0.321553336111187,1
"649",830,"Lower Central Basin","KBA",NA,NA,4,0.488676236458767,0.063915702509737,0.861609063350945,0.717858575518864,1,0.100378987122544
"680",655,"Makalu Barun National Park","KBA",NA,NA,4,0.415495272536784,0.794101922172708,0.360766092697563,0.890202903416604,0.0776737443716865,0.206990690908898
"685",849,"Mali Hka Area","KBA",NA,NA,4,0.633091391212967,0.888559366516053,0.43405831195429,0.888541095665693,0.500063344571907,0.541801114388543
"706",1336,"May Hka Area","KBA",NA,NA,4,0.909491766390162,0.809730856902864,0.506141870603294,0.929291601243885,0.830463068462591,0.491471408439413
"734",853,"Momeik - Mabein","KBA",NA,NA,4,0.364343560292473,0.851506860124319,0.500023621998937,0.587128670529719,0.206529427251254,0.418891484774015
