,ID,SP_ID,Int_Name,Area_Rep,Area_GIS,PA_type,PA_DEF,IUCN_CAT,RealmNr,COUNTRY,ISO3,ODA_status,ODA,SR_B,Prop_SR_B,SR_M,Prop_SR_M,SR_A,Prop_SR_A,SR_R,Prop_SR_R,RSR_B,RSR_M,RSR_A,RSR_R,PE_WMean_B,PE_Max_B,PE_WMean_M,PE_Max_M,PE_WMean_A,PE_Max_A,PE_WMean_R,PE_Max_R,TO_PAbird,TO_PA_weightbird,TO_PAmammal,TO_PA_weightmammal,TO_PAamphibian,TO_PA_weightamphibian,TO_PAreptile,TO_PA_weightreptile,HFP_WMean,HFP_Max,HFPRisk_around,BaseCarbon_WMean,BaseCarbon_WSum,VulCarbon_WMean,VulCarbon_WSum,IrrCarbon_WMean,IrrCarbon_WSum,BII_WMean,BII_Max,BioAnth_WMean,BioAnth_Max,TreeCover_WMean,TreeCover_Max,BioCropRisk,CropRisk,PastureRisk
483,1314,1221,Yanboyezeshan Nature Reserve,NA,4378.216822,KBA,NA,NA,8,China,CHN,Upper Middle Income Countries and Territories,yes,230,0.023274641,71,0.013459716,8,0.001253918,25,0.002484102,4.58E-07,6.25E-07,2.84E-06,1.08E-06,6.63091405,7.932622544,3.556209134,5.54789299,2.686539456,4.072657294,0.698817534,1.463128335,0.087956604,0.09897073,0.095337133,0.107369901,0.203459552,0.209344723,0.534177046,0.558957015,10.68885056,11.6357553,10.68885056,11.84208803,90.07946883,11.84074122,90.06972854,1.02955561,9.250181385,0.733291614,0.792696621,0.652664245,1.557556154,0.728390217,0.958100022,0,-0.000535042,0.015499398
484,638,1170,Lindian County Xinxing Horse Ranch and Julang Pasture,NA,2282.024207,KBA,NA,NA,8,China,CHN,Upper Middle Income Countries and Territories,yes,167,0.016899413,49,0.0092891,8,0.001253918,13,0.001291733,1.57E-07,2.08E-07,2.73E-07,3.26E-07,2.360579297,2.384791614,0.845014628,0.878202655,0.623764882,0.623764882,0.135563768,0.14167111,0.066144655,0.062886666,0.077647281,0.073837092,0.074567332,0.074386121,0.278761414,0.28115634,14.59530951,17.16255075,14.59530951,7.689911442,29.86863405,7.686590164,29.85285471,0.001362108,1.008293045,0.82835176,0.833734785,1.273629872,4.783126869,0.147711979,0.190366685,1.40E-05,0.010770732,0.008139304
485,60,1262,Anhui Chinese Alligator National Nature Reserve,NA,9376.883269,KBA,NA,NA,8,China,CHN,Upper Middle Income Countries and Territories,yes,172,0.017405384,86,0.016303318,33,0.005172414,67,0.006657393,2.54E-07,5.16E-07,1.38E-05,9.28E-07,3.687430161,4.638567168,3.084898036,3.643173274,9.502313953,14.83611312,3.442089892,3.591151133,0.04546222,0.048683446,0.068046372,0.072076017,0.079205212,0.088854065,0.240169241,0.240914009,15.61820174,19.18306776,15.61820174,27.35517926,296.4555497,27.35090081,296.4133872,0.01584347,1.14480818,0.900343011,1.015234687,3.37835357,16.50239561,0.033186514,0.091549993,0.000302712,-0.0080352,0.000212529
486,1218,1172,Ulgai,NA,4337.496019,KBA,NA,NA,8,China,CHN,Upper Middle Income Countries and Territories,yes,127,0.012851649,49,0.0092891,4,0.000626959,12,0.001192369,1.31E-07,3.13E-07,2.30E-07,2.00E-07,1.28469918,1.536414176,0.88355922,1.000244662,0.102461517,0.176713106,0.081535514,0.089866806,0.051867754,0.052222176,0.076181489,0.076404311,0.087109405,0.095555019,0.360446071,0.358470626,6.698241091,7.836623169,6.698241091,4.1206003,37.50086828,4.118732573,37.48296564,0.000463021,1.004348533,0.618123274,0.648714457,-0.397570612,1.407379157,0.071079095,0.17626667,0,-0.000130492,0.000930813
487,1300,1214,Wulianfeng,NA,7393.408535,KBA,NA,NA,8,China,CHN,Upper Middle Income Countries and Territories,yes,330,0.03339405,127,0.024075829,47,0.007366771,76,0.007551669,8.52E-07,1.17E-06,1.13E-05,1.25E-06,12.54115308,14.76817773,7.820741714,12.62147519,21.18993085,37.49704105,2.407859524,2.689809535,0.05228094,0.050215959,0.059582395,0.059624166,0.104888617,0.099737429,0.351536475,0.348728727,11.46510191,13.33698445,11.46510191,33.81424072,262.3787868,33.81054469,262.3504819,0.190865491,2.862307179,0.892493554,0.93039263,-1.677296258,-0.709686278,-0.037641613,0.042900026,0.000114118,0.014107965,-0.000522422
488,382,1216,Ganligahai-Zecha Nature Reserve,NA,2108.943012,KBA,NA,NA,8,China,CHN,Upper Middle Income Countries and Territories,yes,216,0.021857923,77,0.014597156,7,0.001097179,17,0.001689189,6.70E-07,6.76E-07,2.05E-06,2.38E-05,7.393727516,7.877701678,4.790369062,5.50412055,2.191230363,2.263705609,6.136863852,11.68720555,0.071813717,0.075605588,0.081428042,0.084401527,0.137525597,0.140697598,0.597044412,0.599474967,11.01981758,11.70458252,11.01981758,12.58011546,49.68042785,12.57873714,49.67437423,0.854798768,3.862472306,0.758032219,0.776783331,0.059569641,0.148864745,0.342284465,0.783766689,0,0.000504617,0.014504061
489,103,1215,Baishui Jiang Nature Reserve,NA,2185.060722,KBA,NA,NA,8,China,CHN,Upper Middle Income Countries and Territories,yes,305,0.030864198,123,0.023317536,28,0.004388715,51,0.005067568,8.54E-07,2.98E-06,7.75E-06,8.47E-06,11.64339419,12.36187196,11.20274804,13.25158472,12.21924285,13.23065383,8.956327894,17.06139746,0.022188465,0.031420528,0.027856963,0.034390134,0.055802134,0.060669318,0.429276165,0.408998762,7.784825465,11.88222926,7.784825465,39.6067139,181.1174318,39.60252343,181.0980994,1.662621089,10.49177573,0.968798829,0.990450093,0.560931518,2.247039804,-0.024658598,0.072283328,7.26E-06,0.004155382,0.000864303
490,496,1156,Jinta,NA,14787.48713,KBA,NA,NA,8,China,CHN,Upper Middle Income Countries and Territories,yes,121,0.012244485,60,0.011374408,2,0.00031348,18,0.001788553,1.87E-07,4.82E-07,6.64E-07,3.58E-07,0.975275315,1.412224654,1.55531326,2.364214075,0.05340512,0.063856032,0.240637644,0.282136889,0.081443336,0.095606274,0.096689958,0.108865643,0.153775651,0.149677787,0.393492258,0.393707707,4.429604345,8.048511793,4.429604345,1.395915829,23.77799853,1.391507291,23.71807484,0.000162462,1.000619129,0.886792505,0.933852071,1.23515925,6.408370953,0.027233266,0.172866665,1.92E-06,-0.003164808,0.011853538
491,728,1226,Min Shan mountains,NA,4075.421509,KBA,NA,NA,8,China,CHN,Upper Middle Income Countries and Territories,yes,294,0.029751063,125,0.023696682,24,0.003761755,40,0.003974563,6.59E-07,2.23E-06,2.96E-06,1.02E-06,9.941348565,11.29390792,10.52616256,12.4534329,4.420485466,10.31908744,0.918406331,1.980341607,0.031670953,0.035384177,0.042043181,0.045280636,0.07726741,0.083506598,0.463244576,0.503718711,9.04251495,12.75790123,9.04251495,27.92980821,208.3220168,27.92636417,208.2959524,6.149422454,34.80031219,0.860475188,0.896029122,0.032497815,4.569763174,-0.022182373,0.106733382,1.07E-06,0.003084518,0.006070068
492,1323,1163,Yellow River Delta Nature Reserve,NA,3201.867563,KBA,NA,NA,8,China,CHN,Upper Middle Income Countries and Territories,yes,109,0.011030156,28,0.005308057,9,0.001410658,21,0.002086645,1.17E-07,3.49E-07,4.31E-07,3.19E-07,2.120058348,2.199325147,0.821784836,1.001282061,0.590842346,0.727926499,0.391223102,0.412184111,0.091172096,0.105777624,0.102207402,0.116533791,0.086886038,0.094981373,0.345533758,0.365720915,17.72933363,21.97387543,17.72933363,2.266293479,16.85874841,2.26271075,16.8443141,0.001253029,1.009951031,0.866159707,0.909970123,1.608135675,4.863265986,0.090060718,0.186850011,6.06E-05,-0.022871491,0.007056762
