"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Large_size","Hig_SR_B","High_SR_M","High_SR_A","High_SR_R","High_SE_B","High_SE_M","High_SE_A","High_SE_R","High_ED_B","High_ED_M","High_ED_A","High_ED_R","High_CS_B","High_CS_M","High_CS_A","High_CS_R","Low_HFP","High_CaS","High_VCaS","High_ICaS","High_BII","Low_BTAC","Low_FCC","Low_BCrop","Low_Crop","Low_Pasture","Biodiversity","Wilderness","ClimateStability","LandUseStability","ClimateProtection","Size"
"1",1351,"Abra Patricia - Alto Mayo","KBA",NA,NA,6,0.0111492956583893,0.836734695641459,0.790613729686299,0.629032258617759,0.69868994846353,0.0574252136752137,0.0273623573723275,0.341354112938694,0.0281696782966148,0.761688001560512,0.270153898939626,0.472493369936393,0.144256943718555,0.360915712647231,0.394354564377184,0.44814832067825,0.35079484824398,0.159762329232231,0.695569290099696,0.696893556526677,0.365377491123132,0.858334316727141,0.360211964937517,0.338186680778674,0.00634963872797824,0.456451063971286,0.414653865407717,0.694971980133311,0.843454108426096,0.681705002344948,0.568490990671216,0.624811208844538,0.658463478238854
"2",85,"Absaroka-Beartooth","IUCN",1,"Ib",5,0.0118533823003311,0.179786202882223,0.274368234003115,0.0430107357220488,0.0524017538255945,0.00400641025641026,0.00513274989845279,0.00145969616694599,0.00242869157189006,0.0261519911384818,0.0338711222653784,0.00196576736737051,0.00259141240049679,0.189371170138844,0.247902468810392,0.27587936693743,0.498149329508044,0.0880565774928263,0.195768633361272,0.196118386280215,0.0633151909072171,0.572758492924624,0.351139881640363,0.374955043950117,0,0.268797716155355,0.422118045505634,0.0810569680447409,0.721336135743438,0.749540942758722,0.704035670683436,0.161798223270816,0.663114320623561
"3",1116,"Abyy lowland","KBA",NA,NA,8,0.0367324542856785,0.0816326569810198,0.101083035584655,0.0107527010810498,0,0.00178952991452992,0.000763142670753173,0.000168763670953215,NA,0.00469094312713099,0.00354202492705421,0.00049793553356048,NA,0.29469052916436,0.246022600457734,0.246725702948998,1,0.0646734385323135,0.0267251226052802,0.0237282329440671,0.00533522815894482,0.944758970295479,0.348937655257272,0.312318098301904,0,0.283524000723085,0.415219846813232,0.0282296373169446,0.958410617637403,0.635852374058821,0.698347549185849,0.0198296350800148,0.749021492297987
"4",945,"Active Delta (Mississippi River Birdsfoot Delta)","KBA",NA,NA,5,0.00736775947260435,0.0932944637492371,0.101083035584655,0.107526873606197,0.165938879789783,0.00438034188034188,0.0025971468311116,0.00457196126764165,0.00639791242562623,NA,0.0144978224670075,0.0165929432110486,0.00893391092229295,0.279983543086034,0.457437567875118,0.301973221761934,0.348575604043242,0.204932059650881,0.0461745734572479,0.0462308405031756,0.0117323826626019,0.198625239808783,0.348293884933041,NA,0,0.282592473413496,0.414641455813122,0.0736361598571144,0.430252007758717,0.653903735701909,0.699444701022682,0.0370150014180135,0.627002374457401
"5",10,"Addax Sanctuary","IUCN",1,"Ia",8,0.039859879152023,0.0524781352587272,0.108303253772368,0.0215053678610244,0.174672498102782,0.00219017094017094,0.00296640941373411,0.000539167052655726,0.00178025450172524,0.00694021727813385,0.00993572834790584,0.000832986095536746,0.00437055084487283,0.589501008831936,0.404970801693729,0.567704542027505,0.158441969089562,0.00267447985108359,0.0536197678435837,0.0537221928099995,0,0.630724516559886,0.347493836995973,0.31536333274422,0,0.283524000723085,0.415219846813232,0.0477120139405781,0.808986554805965,0.650433792913014,0.698347549185849,0.0381538975727303,0.755227924519996
"6",769,"Adelaide and Mary River Floodplains","KBA",NA,NA,1,0.00809682138984131,0.200194367127478,0.191335734366081,0.134408592007747,0.49344978626525,0.0126068376068376,0.0230542939083983,0.0576704184316229,0.0357347774485377,0.144620148823233,0.149310342208554,0.0455001560426437,0.106960643502236,0.0756709644627143,0.142532232181952,0.117066652384019,0.231507836864546,0.0935211104430496,0.259013669904994,0.259476366395776,0.0327415361725874,0.296850171302986,0.352451006572702,0.575418298717249,0,0.283524000723085,0.414534244807609,0.215133891242458,0.552775913570707,0.83359123166571,0.698845728123725,0.195931142182854,0.634168116212881
"7",1232,"Adjara-Imereti Ridge","KBA",NA,NA,8,0.0081484381113623,0.193391642511227,0.285198551763023,0.0645161378841485,0.218340589667779,0.00280448717948718,0.0160383048385707,0.0247213207693286,0.0397629471268343,0.0177530360979857,0.0794483137502598,0.0292368212578639,0.0217195276088574,0.000603116624665332,0.0151073226815365,0.106560302508103,0.336747840376535,0.472607556237766,0.472994551818405,0.473889939176038,0.206335654016125,0.795690568538256,0.335180565438906,0.194887202387605,1.81135713764122e-05,0.211972432131317,0.419818034910277,0.131734879020352,0.634481506140635,0.918535873802861,0.746984717555875,0.40990348064854,0.634650711851221
"8",898,"Adovo-Chugrumski wetland","KBA",NA,NA,8,0.0076614676873237,0.152575323624216,0.155234662470839,0.0268817184015493,0.0218340457824984,5.87606837606839e-05,0.000225250175399727,0.000151960361724107,0.000367447673093398,0.00850091186098936,0.00644630563721659,0.00110315918301555,0.000274848961885556,0.284296546515504,0.526069407046907,0.398995201659528,0.650546719656349,0.145669204460144,0.354460340990718,0.350983751885544,0.193737401734418,0.825727144896195,0.347677317059639,0.2913317423825,0,0.282914843391857,0.415544288159238,0.0459301326462664,0.839888682270099,0.62362149991845,0.698554432342478,0.319607341209164,0.629970925966315
"9",1094,"Aginskiye lakes","KBA",NA,NA,8,0.00626586316302595,0.201166183557871,0.227436825304644,0.0215053678610244,0.0305676640954978,0.00181623931623932,0.00184631291311251,0.000597613345626537,0.0009549709578791,0.0163817102052702,0.0166605928824963,0.000822586053270311,0.00023472555427381,0.161668066597954,0.267556547523827,0.176358813178436,0.656382173727339,0.332884582834877,0.0454100778875707,0.0454843986852601,0.000536420886511323,0.312790988204805,0.432954250774534,0.341581146535991,0,0.291767396924866,0.43339662755194,0.0662059569674265,0.371549452609048,0.748761586861801,0.67914985784487,0.0324984290896693,0.614700372799524
"10",901,"Agriculture lands of south and east of Novouzensk","KBA",NA,NA,8,0.00636847406783766,0.142857149716785,0.166064980230747,0.0215053678610244,0.0698689904515932,0.000432692307692308,0.00129241903917876,0.000999431609800859,0.00145603596664283,0.011391916777762,0.0121460958281987,0.00177415934304029,0.00116715241990105,0.300538605867868,0.562658477429333,0.314614301677029,0.342230449725458,0.345596709748513,0.0288559082212122,0.0289041027207082,1.36564813034627e-05,0.393401708517582,0.596630613576769,0.682886576800993,0,0.284941674964432,0.464845580845029,0.0538696831686171,0.3144386035326,0.575650696057019,0.661257880966494,0.0205352182487183,0.615933873712143
"11",267,"Aguaro-Guariquito","IUCN",1,"II",6,0.0182833008426367,0.37026239610227,0.657039721778597,0.19354837935137,0.458515269065655,0.00633012820512821,0.00292948315547186,0.0361914057648501,0.00852007010980201,0.107054789890441,0.0879761601232737,0.0132240895495936,0.0163986318583549,0.294441387988214,0.257898897379393,0.160712814443185,0.276354239232254,0.230391847992579,0.110550527953746,0.110725562255314,0.0238760621703018,0.467139061897768,0.347314433517567,0.430314114490996,2.05357349906998e-05,0.285981342305036,0.416910388727828,0.265449825957045,0.575765519167347,0.782994848377493,0.695318651008251,0.0871375001412766,0.696029588287324
"12",587,"Aguelhok","KBA",NA,NA,8,0.0263295516463862,0.0340136134777573,0.104693135156851,0.0107527010810498,0.157205261476783,0.00197649572649573,0.00512044114569871,0.000319993454015187,0.00180972891400545,0.00442226174437721,0.0171867468985603,0.000569541312328574,0.00438501754672396,0.373774537595007,0.390184320468557,0.250545374679989,0.122777126434029,0.0182320483961245,0.0130389941534822,0.0130469987183955,9.17342890475396e-06,0.493843543650305,0.347632609685379,0.340661786341694,0,0.283524000723085,0.415219846813232,0.0416072524974059,0.718006988097786,0.778153710740963,0.698347549185849,0.00927533180986462,0.723730421136466
"13",199,"Ai-Ais Hot Springs","IUCN",1,"II",3,0.0136021674791894,0.18172983574301,0.25992779762769,0.0591397873436235,0.432314414126657,0.012366452991453,0.012099503957264,0.0534330621912392,0.10951905619002,0.0779585107877642,0.116434757323073,0.0160579638003443,0.237698344640423,0.142252857924715,0.229499204353973,0.203894477498322,0.16552776872917,0.0874140902983884,0.112119257972603,0.112315769797443,0.00327180416269499,0.38122043062735,0.347827169401312,0.292034528116912,0.000175870140689583,0.283979400625938,0.415290023832378,0.211508343408284,0.609483284741506,0.884847047504413,0.697837856755255,0.0809366913858645,0.673566182552957
"14",446,"Akami Uapishku - KakKasuak - Mealy Mountains National Park Reserve Of Canada","IUCN",1,"II",5,0.0333407818611508,0.0641399420269445,0.122743690147793,0.0161290173204995,0,0.0009375,0.00119394901714609,0.00119668784857734,NA,0.00510274271142483,0.00782262481426592,0.000210960120474596,NA,0.299497795822062,0.292161160722636,0.586618169496101,1,0.00265056089544743,0.230687626110368,0.213522447210498,0.043143718960744,0.912815995813767,0.347493836995973,0.373038568680063,0,0.283520834069971,0.414632026868788,0.0306498905391442,0.977207740470427,0.524586152085886,0.698776977736314,0.173226262676557,0.741662843457494
"15",984,"Akimiski Island","KBA",NA,NA,5,0.0100238204647023,0.0903790144580574,0.11552347196008,0.0215053678610244,0,0.00248397435897436,0.000361877330970053,0.000480720759684916,NA,0.00681951660001345,0.00243465598936757,0.000373470171561238,NA,0.338256282294727,0.402205587197949,0.281309801762676,1,0.0175168356109472,0.0951117152927221,0.0911157909685056,0.00652167327299632,0.911838510093258,0.347493836995973,0.737935796458136,0,0.283523712205802,0.415213153773684,0.0341223801972196,0.967760343473154,0.440390260917199,0.698352622194006,0.068511255136377,0.650381781278917
